FF 51 03 07 A1 20,C major
FF 58 04 04 02 18 08,C major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,C major
C0 06,C major
9C 47 7F,G major,0.0286458333333
80 48 7F,G major,0.00651041666667
90 48 7F,G major,0.0885416666667
8C 47 7F,G major,0.00260416666667
8A 39 7F,G major,0.078125
9C 3B 7F,G major,0.00260416666667
9C 47 7F,G major,0.00651041666667
80 48 7F,G major,0.00651041666667
90 48 7F,G major,0.0885416666667
8C 47 7F,G major,0.00260416666667
9C 47 7F,G major,0.0911458333333
80 48 7F,G major,0.00260416666667
8C 3B 7F,G major,0.00651041666667
94 34 7F,G major,0.00260416666667
90 48 7F,G major,0.078125
8C 47 7F,G major,0.00651041666667
9C 47 7F,G major,0.0885416666667
80 48 7F,G major,0.00260416666667
84 34 7F,G major,0.0286458333333
97 37 7F,G major,0.00260416666667
90 48 7F,G major,0.0546875
8C 47 7F,G major,0.00651041666667
9C 47 7F,G major,0.0885416666667
80 48 7F,G major,0.00260416666667
87 37 7F,G major,0.0520833333333
9C 3B 7F,G major,0.00260416666667
90 48 7F,G major,0.0325520833333
8C 47 7F,G major,0.00651041666667
9C 47 7F,G major,0.0885416666667
80 48 7F,G major,0.00260416666667
8C 3B 7F,G major,0.0755208333333
94 40 7F,G major,0.00260416666667
90 48 7F,G major,0.0130208333333
8C 47 7F,G major,0.00260416666667
9C 47 7F,G major,0.0885416666667
80 48 7F,G major,0.00651041666667
90 48 7F,G major,0.0885416666667
8C 47 7F,G major,0.00260416666667
84 40 7F,G major,0.00260416666667
9C 3B 7F,G major,0.00260416666667
9C 47 7F,G major,0.0807291666667
80 48 7F,G major,0.00651041666667
90 48 7F,G major,0.0885416666667
8C 47 7F,G major,0.00260416666667
8C 3B 7F,G major,0.0260416666667
97 37 7F,G major,0.00260416666667
9C 47 7F,G major,0.05859375
80 48 7F,G major,0.00651041666667
90 48 7F,G major,0.0885416666667
8C 47 7F,G major,0.00260416666667
87 37 7F,G major,0.0494791666667
94 34 7F,G major,0.00260416666667
9C 47 7F,G major,0.0390625
80 48 7F,G major,0.00260416666667
90 48 7F,G major,0.0911458333333
8C 47 7F,G major,0.00260416666667
84 34 7F,G major,0.0677083333333
96 36 7F,G major,0.00260416666667
9C 47 7F,G major,0.015625
80 48 7F,G major,0.00651041666667
86 36 7F,G major,0.182291666667
97 37 7F,G major,0.00260416666667
8C 47 7F,G major,0.197916666667
87 37 7F,G major,0.00651041666667
92 32 7F,G major,0.00260416666667
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
80 30 7F,G major,0.1015625
92 32 7F,G major,0.00260416666667
94 4C 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
84 4C 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
92 4A 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
82 4A 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
90 48 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
80 48 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
92 4A 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
82 4A 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
9C 47 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
8C 47 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
9A 45 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
8A 45 7F,G major,0.0846354166667
80 30 7F,G major,0.015625
92 32 7F,G major,0.00260416666667
9C 47 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
8C 47 7F,G major,0.0846354166667
80 30 7F,G major,0.015625
92 32 7F,G major,0.00260416666667
97 43 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
87 43 7F,G major,0.0846354166667
80 30 7F,G major,0.015625
92 32 7F,G major,0.00260416666667
9A 45 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
8A 45 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
90 48 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
80 48 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
9C 47 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
8C 47 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
9A 45 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
8A 45 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
9C 47 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
8C 47 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
97 43 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
87 43 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
96 42 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
86 42 7F,G major,0.0846354166667
80 30 7F,G major,0.015625
92 32 7F,G major,0.00260416666667
97 43 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
87 43 7F,G major,0.0846354166667
80 30 7F,G major,0.015625
92 32 7F,G major,0.00260416666667
94 40 7F,G major
82 32 7F,G major,0.1015625
90 30 7F,G major,0.00260416666667
84 40 7F,G major,0.0846354166667
96 42 7F,G major,0.01953125
94 40 7F,G major,0.0911458333333
86 42 7F,G major,0.00651041666667
96 42 7F,G major,0.0846354166667
84 40 7F,G major,0.00651041666667
80 30 7F,G major,0.015625
92 32 7F,G major,0.00260416666667
86 42 7F,G major,0.17578125
82 32 7F,G major,0.0286458333333
96 36 7F,G major,0.00260416666667
92 3E 7F,G major
82 3E 7F,G major,0.201822916667
86 36 7F,G major,0.00260416666667
9A 39 7F,G major,0.00260416666667
9A 45 7F,G major
97 43 7F,G major,0.0911458333333
8A 45 7F,G major,0.00651041666667
9A 45 7F,G major,0.0846354166667
87 43 7F,G major,0.00651041666667
8A 39 7F,G major,0.015625
96 36 7F,G major,0.00260416666667
8A 45 7F,G major,0.17578125
86 36 7F,G major,0.0286458333333
92 32 7F,G major,0.00260416666667
96 42 7F,G major
86 42 7F,G major,0.201822916667
82 32 7F,G major,0.00260416666667
90 30 7F,G major,0.00260416666667
92 4A 7F,G major
82 4A 7F,G major,0.09765625
90 48 7F,G major,0.00651041666667
80 48 7F,G major,0.09765625
80 30 7F,G major,0.00260416666667
9C 2F 7F,G major,0.00260416666667
92 4A 7F,G major
82 4A 7F,G major,0.188802083333
8C 2F 7F,G major,0.015625
9A 2D 7F,G major,0.00260416666667
96 42 7F,G major
86 42 7F,G major,0.188802083333
8A 2D 7F,G major,0.015625
9C 2F 7F,G major,0.00260416666667
97 43 7F,G major
87 43 7F,G major,0.201822916667
8C 2F 7F,G major,0.00260416666667
97 2B 7F,G major,0.00260416666667
9C 47 7F,G major
8C 47 7F,G major,0.201822916667
87 2B 7F,G major,0.00260416666667
9C 2F 7F,G major,0.00260416666667
92 4A 7F,G major
82 4A 7F,G major,0.201822916667
8C 2F 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
9C 47 7F,G major
8C 47 7F,G major,0.201822916667
82 32 7F,G major,0.00260416666667
9C 2F 7F,G major,0.00260416666667
97 43 7F,G major
87 43 7F,G major,0.201822916667
8C 2F 7F,G major,0.00260416666667
97 2B 7F,G major,0.00260416666667
92 4A 7F,G major
82 4A 7F,G major,0.201822916667
87 2B 7F,G major,0.00260416666667
92 32 7F,G major,0.00260416666667
9C 47 7F,G major
8C 47 7F,G major,0.188802083333
82 32 7F,G major,0.015625
9C 2F 7F,G major,0.00260416666667
97 43 7F,G major
87 43 7F,G major,0.188802083333
8C 2F 7F,G major,0.015625
97 2B 7F,G major,0.00260416666667
97 4F 7F,G major
87 4F 7F,G major,0.188802083333
87 2B 7F,G major,0.015625
96 2A 7F,G major,0.00260416666667
92 4A 7F,G major
82 4A 7F,G major,0.201822916667
86 2A 7F,G major,0.00260416666667
92 26 7F,G major,0.00260416666667
96 4E 7F,G major
86 4E 7F,G major,0.201822916667
82 26 7F,G major,0.00260416666667
96 2A 7F,G major,0.00260416666667
9A 51 7F,G major
8A 51 7F,G major,0.201822916667
86 2A 7F,G major,0.00260416666667
9A 2D 7F,G major,0.00260416666667
96 4E 7F,G major
86 4E 7F,G major,0.201822916667
8A 2D 7F,G major,0.00260416666667
96 2A 7F,G major,0.00260416666667
92 4A 7F,G major
82 4A 7F,G major,0.201822916667
86 2A 7F,G major,0.00260416666667
92 26 7F,G major,0.00260416666667
9A 51 7F,G major
8A 51 7F,G major,0.201822916667
82 26 7F,G major,0.00260416666667
9A 2D 7F,G major,0.00260416666667
96 4E 7F,G major
86 4E 7F,G major,0.188802083333
8A 2D 7F,G major,0.015625
96 2A 7F,G major,0.00260416666667
92 4A 7F,G major
82 4A 7F,G major,0.188802083333
86 2A 7F,G major,0.015625
92 26 7F,G major,0.00260416666667
90 54 7F,G major
80 54 7F,G major,0.188802083333
82 26 7F,G major,0.015625
97 2B 7F,G major,0.00260416666667
9C 53 7F,G major
8C 53 7F,G major,0.201822916667
87 2B 7F,G major,0.00260416666667
9A 2D 7F,G major,0.00260416666667
9A 51 7F,G major
8A 51 7F,G major,0.201822916667
8A 2D 7F,G major,0.00260416666667
9C 2F 7F,G major,0.00260416666667
97 4F 7F,G major
87 4F 7F,G major,0.201822916667
8C 2F 7F,G major,0.00260416666667
9A 2D 7F,G major,0.00260416666667
96 4E 7F,G major
86 4E 7F,G major,0.201822916667
8A 2D 7F,G major,0.00260416666667
9C 2F 7F,G major,0.00260416666667
97 4F 7F,G major
87 4F 7F,G major,0.201822916667
8C 2F 7F,G major,0.00260416666667
90 30 7F,G major,0.00260416666667
9A 51 7F,G major
8A 51 7F,G major,0.201822916667
80 30 7F,G major,0.00260416666667
9C 2F 7F,G major,0.00260416666667
92 4A 7F,G major
82 4A 7F,G major,0.188802083333
8C 2F 7F,G major,0.015625
90 30 7F,G major,0.00260416666667
97 4F 7F,G major
87 4F 7F,G major,0.188802083333
80 30 7F,G major,0.015625
92 32 7F,G major,0.00260416666667
96 4E 7F,G major
86 4E 7F,G major,0.188802083333
82 32 7F,G major,0.015625
94 28 7F,G major,0.00260416666667
97 4F 7F,G major
84 28 7F,G major,0.102864583333
92 26 7F,G major,0.00390625
87 4F 7F,G major,0.100260416667
82 26 7F,G major,0.00390625
94 28 7F,G major,0.00390625
96 4E 7F,G major
86 4E 7F,G major,0.205729166667
94 4C 7F,G major,0.00651041666667
84 4C 7F,G major,0.205729166667
92 4A 7F,G major,0.00651041666667
84 28 7F,G major,0.173177083333
82 4A 7F,G major,0.0338541666667
90 48 7F,G major,0.00651041666667
80 48 7F,G major,0.205729166667
94 34 7F,G major,0.00651041666667
9C 47 7F,G major
8C 47 7F,G major,0.205729166667
84 34 7F,G major,0.00390625
96 36 7F,G major,0.00390625
9A 45 7F,G major
8A 45 7F,G major,0.192708333333
86 36 7F,G major,0.0169270833333
94 34 7F,G major,0.00390625
9C 47 7F,G major
8C 47 7F,G major,0.192708333333
84 34 7F,G major,0.0169270833333
92 32 7F,G major,0.00390625
90 48 7F,G major
80 48 7F,G major,0.192708333333
82 32 7F,G major,0.0169270833333
97 37 7F,G major,0.00390625
9C 47 7F,G major
87 37 7F,G major,0.108072916667
96 36 7F,G major,0.00390625
8C 47 7F,G major,0.104166666667
86 36 7F,G major,0.00390625
97 37 7F,G major,0.00390625
9A 45 7F,G major
87 37 7F,G major,0.197916666667
8A 45 7F,G major,0.0169270833333
9C 2F 7F,G major,0.00651041666667
97 43 7F,G major
87 43 7F,G major,0.21484375
8C 2F 7F,G major,0.00390625
94 34 7F,G major,0.00390625
96 42 7F,G major
86 42 7F,G major,0.220052083333
84 34 7F,G major,0.00390625
92 32 7F,G major,0.00390625
97 43 7F,G major
87 43 7F,G major,0.220052083333
82 32 7F,G major,0.00390625
90 30 7F,G major,0.00390625
9A 45 7F,G major
8A 45 7F,G major,0.220052083333
80 30 7F,G major,0.00390625
92 32 7F,G major,0.00390625
92 3E 7F,G major
82 32 7F,G major,0.11328125
90 30 7F,G major,0.00390625
82 3E 7F,G major,0.0950520833333
80 30 7F,G major,0.0182291666667
92 32 7F,G major,0.00390625
97 43 7F,G major
87 43 7F,G major,0.2109375
92 26 7F,G major,0.0221354166667
96 42 7F,G major
86 42 7F,G major,0.2109375
82 26 7F,G major,0.0182291666667
82 32 7F,G major,0.00390625
97 2B 7F,G major
97 43 7F,G major
92 3E 7F,G major,0.263020833333
82 3E 7F,G major,0.255208333333
9C 3B 7F,G major,0.0078125
8C 3B 7F,G major,0.255208333333
97 37 7F,G major,0.0078125
87 2B 7F,G major,0.2890625
9C 2F 7F,G major,0.00520833333333
8C 2F 7F,G major,0.2890625
92 32 7F,G major,0.00520833333333
87 37 7F,G major,0.28515625
82 32 7F,G major,0.00520833333333
97 37 7F,G major,0.05078125
87 43 7F,G major,1.71354166667
87 37 7F,G major,0.0325520833333
FF 2F 00,G major,4.30078125

FF 51 03 07 A1 20,g minor
FF 58 04 04 02 18 08,g minor
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,g minor
C0 06,g minor
E0 00 40,g minor
C1 06,g minor
E1 70 3C,g minor
C2 06,g minor
E2 44 3D,g minor
C3 06,g minor
E3 10 3E,g minor
C4 06,g minor
E4 70 3C,g minor
C5 06,g minor
E5 30 3F,g minor
C6 06,g minor
E6 20 3C,g minor
C7 06,g minor
E7 65 3E,g minor
C8 06,g minor
E8 40 3D,g minor
CA 06,g minor
EA 20 3C,g minor
CB 06,g minor
EB 60 3E,g minor
CC 06,g minor
EC 40 3D,g minor
FF 03 07 54 72 61 63 6B 20 31,g minor
FF 03 04 4D 49 44 49,g minor
97 2B 7F,g minor,0.114583333333
92 3E 7F,g minor,0.23046875
82 3E 7F,g minor,0.225260416667
94 40 7F,g minor,0.00651041666667
84 40 7F,g minor,0.225260416667
96 42 7F,g minor,0.00520833333333
86 42 7F,g minor,0.225260416667
97 43 7F,g minor,0.00651041666667
87 43 7F,g minor,0.225260416667
87 2B 7F,g minor,0.00520833333333
9A 45 7F,g minor,0.00130208333333
8A 45 7F,g minor,0.225260416667
97 37 7F,g minor,0.00520833333333
9B 46 7F,g minor
8B 46 7F,g minor,0.225260416667
97 43 7F,g minor,0.00651041666667
87 37 7F,g minor,0.223958333333
87 43 7F,g minor,0.00130208333333
96 36 7F,g minor,0.00520833333333
9A 45 7F,g minor
8A 45 7F,g minor,0.225260416667
86 36 7F,g minor
97 37 7F,g minor,0.00520833333333
97 43 7F,g minor
87 43 7F,g minor,0.225260416667
87 37 7F,g minor
9A 39 7F,g minor,0.00651041666667
96 42 7F,g minor
86 42 7F,g minor,0.225260416667
8A 39 7F,g minor
97 37 7F,g minor,0.00520833333333
94 40 7F,g minor
84 40 7F,g minor,0.225260416667
87 37 7F,g minor
96 36 7F,g minor,0.0078125
92 3E 7F,g minor
82 3E 7F,g minor,0.225260416667
90 48 7F,g minor,0.00520833333333
86 36 7F,g minor,0.178385416667
80 48 7F,g minor,0.046875
95 35 7F,g minor,0.00520833333333
9B 46 7F,g minor
8B 46 7F,g minor,0.225260416667
9A 45 7F,g minor,0.00651041666667
85 35 7F,g minor,0.177083333333
8A 45 7F,g minor,0.0481770833333
94 34 7F,g minor,0.00520833333333
97 43 7F,g minor
87 43 7F,g minor,0.225260416667
84 34 7F,g minor
95 35 7F,g minor,0.00651041666667
95 41 7F,g minor
85 41 7F,g minor,0.225260416667
85 35 7F,g minor
97 37 7F,g minor,0.00520833333333
94 40 7F,g minor
84 40 7F,g minor,0.225260416667
87 37 7F,g minor
95 35 7F,g minor,0.00520833333333
92 3E 7F,g minor
82 3E 7F,g minor,0.225260416667
85 35 7F,g minor
94 34 7F,g minor,0.0078125
90 3C 7F,g minor
80 3C 7F,g minor,0.225260416667
9B 46 7F,g minor,0.00520833333333
84 34 7F,g minor,0.178385416667
8B 46 7F,g minor,0.046875
93 33 7F,g minor,0.00651041666667
9A 45 7F,g minor
8A 45 7F,g minor,0.225260416667
97 43 7F,g minor,0.00520833333333
83 33 7F,g minor,0.178385416667
87 43 7F,g minor,0.046875
92 32 7F,g minor,0.00520833333333
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
90 48 7F,g minor,0.00651041666667
82 32 7F,g minor,0.1875
80 48 7F,g minor,0.0377604166667
97 37 7F,g minor,0.00520833333333
9B 46 7F,g minor
87 37 7F,g minor,0.109375
96 36 7F,g minor,0.0078125
8B 46 7F,g minor,0.108072916667
86 36 7F,g minor,0.00130208333333
97 37 7F,g minor,0.00520833333333
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
90 48 7F,g minor,0.00651041666667
80 48 7F,g minor,0.225260416667
9B 46 7F,g minor,0.00651041666667
87 37 7F,g minor,0.223958333333
8B 46 7F,g minor,0.00130208333333
96 36 7F,g minor,0.00520833333333
9A 45 7F,g minor
8A 45 7F,g minor,0.225260416667
90 48 7F,g minor,0.00520833333333
80 48 7F,g minor,0.225260416667
86 36 7F,g minor
97 37 7F,g minor,0.00651041666667
9B 46 7F,g minor
8B 46 7F,g minor,0.225260416667
87 37 7F,g minor
92 32 7F,g minor,0.00520833333333
9A 45 7F,g minor
8A 45 7F,g minor,0.225260416667
82 32 7F,g minor
94 34 7F,g minor,0.00651041666667
97 43 7F,g minor
87 43 7F,g minor,0.225260416667
84 34 7F,g minor
96 36 7F,g minor,0.00520833333333
9A 45 7F,g minor
8A 45 7F,g minor,0.225260416667
86 36 7F,g minor
97 37 7F,g minor,0.00651041666667
9B 46 7F,g minor
8B 46 7F,g minor,0.225260416667
87 37 7F,g minor
9A 39 7F,g minor,0.00651041666667
90 48 7F,g minor
80 48 7F,g minor,0.225260416667
8A 39 7F,g minor
9B 3A 7F,g minor,0.00520833333333
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
8B 3A 7F,g minor
97 37 7F,g minor,0.00651041666667
94 4C 7F,g minor
84 4C 7F,g minor,0.225260416667
87 37 7F,g minor
9A 39 7F,g minor,0.00520833333333
95 4D 7F,g minor
94 4C 7F,g minor,0.0963541666667
85 4D 7F,g minor,0.0130208333333
95 4D 7F,g minor,0.0833333333333
84 4C 7F,g minor,0.0130208333333
8A 39 7F,g minor,0.01953125
97 37 7F,g minor,0.00520833333333
85 4D 7F,g minor,0.174479166667
87 37 7F,g minor,0.05078125
95 35 7F,g minor,0.00651041666667
92 4A 7F,g minor
85 35 7F,g minor,0.225260416667
94 34 7F,g minor,0.00520833333333
82 4A 7F,g minor,0.201822916667
84 34 7F,g minor,0.0234375
92 32 7F,g minor,0.0078125
82 32 7F,g minor,0.225260416667
90 3C 7F,g minor,0.00520833333333
80 3C 7F,g minor,0.225260416667
9B 3A 7F,g minor,0.00520833333333
92 4A 7F,g minor
8B 3A 7F,g minor,0.225260416667
9A 39 7F,g minor,0.00651041666667
82 4A 7F,g minor,0.212239583333
8A 39 7F,g minor,0.0130208333333
97 37 7F,g minor,0.00520833333333
93 4B 7F,g minor
83 4B 7F,g minor,0.225260416667
87 37 7F,g minor
95 35 7F,g minor,0.00651041666667
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
85 35 7F,g minor
93 33 7F,g minor,0.00520833333333
90 48 7F,g minor
80 48 7F,g minor,0.225260416667
83 33 7F,g minor
92 32 7F,g minor,0.00651041666667
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
82 32 7F,g minor
90 30 7F,g minor,0.00651041666667
93 4B 7F,g minor
80 30 7F,g minor,0.225260416667
9B 3A 7F,g minor,0.00520833333333
83 4B 7F,g minor,0.130208333333
8B 3A 7F,g minor,0.0950520833333
9A 39 7F,g minor,0.00651041666667
94 4C 7F,g minor
8A 39 7F,g minor,0.225260416667
97 37 7F,g minor,0.00520833333333
84 4C 7F,g minor,0.130208333333
87 37 7F,g minor,0.0950520833333
92 3E 7F,g minor,0.00651041666667
95 4D 7F,g minor
85 4D 7F,g minor,0.225260416667
82 3E 7F,g minor
90 3C 7F,g minor,0.00520833333333
94 4C 7F,g minor
84 4C 7F,g minor,0.225260416667
80 3C 7F,g minor
9B 3A 7F,g minor,0.00520833333333
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
8B 3A 7F,g minor
92 3E 7F,g minor,0.00651041666667
94 4C 7F,g minor
84 4C 7F,g minor,0.225260416667
82 3E 7F,g minor
90 3C 7F,g minor,0.00651041666667
95 4D 7F,g minor
80 3C 7F,g minor,0.225260416667
9B 3A 7F,g minor,0.00651041666667
85 4D 7F,g minor,0.12890625
8B 3A 7F,g minor,0.0963541666667
9A 39 7F,g minor,0.00520833333333
96 4E 7F,g minor
8A 39 7F,g minor,0.225260416667
90 3C 7F,g minor,0.00520833333333
86 4E 7F,g minor,0.130208333333
80 3C 7F,g minor,0.0950520833333
9B 3A 7F,g minor,0.00651041666667
97 4F 7F,g minor
8B 3A 7F,g minor,0.225260416667
9A 39 7F,g minor,0.00520833333333
8A 39 7F,g minor,0.225260416667
87 4F 7F,g minor
97 37 7F,g minor,0.00651041666667
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
87 37 7F,g minor
9A 39 7F,g minor,0.00520833333333
90 48 7F,g minor
80 48 7F,g minor,0.225260416667
8A 39 7F,g minor
9B 3A 7F,g minor,0.00651041666667
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
8B 3A 7F,g minor
90 3C 7F,g minor,0.00651041666667
93 4B 7F,g minor
83 4B 7F,g minor,0.225260416667
80 3C 7F,g minor
92 3E 7F,g minor,0.00520833333333
95 4D 7F,g minor
85 4D 7F,g minor,0.225260416667
82 3E 7F,g minor
9B 3A 7F,g minor,0.00651041666667
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
8B 3A 7F,g minor
90 3C 7F,g minor,0.00520833333333
93 4B 7F,g minor
83 4B 7F,g minor,0.225260416667
92 4A 7F,g minor,0.00520833333333
80 3C 7F,g minor,0.201822916667
82 4A 7F,g minor,0.0234375
93 33 7F,g minor,0.00651041666667
90 48 7F,g minor
80 48 7F,g minor,0.225260416667
9B 46 7F,g minor,0.00520833333333
83 33 7F,g minor,0.201822916667
8B 46 7F,g minor,0.0234375
95 35 7F,g minor,0.00651041666667
9A 45 7F,g minor
85 35 7F,g minor,0.109375
93 33 7F,g minor,0.00651041666667
83 33 7F,g minor,0.109375
8A 45 7F,g minor
95 35 7F,g minor,0.00651041666667
97 4F 7F,g minor
87 4F 7F,g minor,0.225260416667
85 35 7F,g minor
95 29 7F,g minor,0.00651041666667
95 4D 7F,g minor
85 4D 7F,g minor,0.225260416667
93 4B 7F,g minor,0.00520833333333
85 29 7F,g minor,0.201822916667
83 4B 7F,g minor,0.0234375
9B 2E 7F,g minor,0.00520833333333
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
90 48 7F,g minor,0.00651041666667
8B 2E 7F,g minor,0.223958333333
80 48 7F,g minor,0.00130208333333
9B 3A 7F,g minor,0.00520833333333
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
94 4C 7F,g minor,0.00651041666667
8B 3A 7F,g minor,0.223958333333
84 4C 7F,g minor,0.00130208333333
9A 39 7F,g minor,0.00520833333333
95 4D 7F,g minor
85 4D 7F,g minor,0.225260416667
97 4F 7F,g minor,0.00651041666667
8A 39 7F,g minor,0.200520833333
87 4F 7F,g minor,0.0247395833333
92 3E 7F,g minor,0.00651041666667
9A 51 7F,g minor
8A 51 7F,g minor,0.225260416667
95 4D 7F,g minor,0.00520833333333
82 3E 7F,g minor,0.201822916667
85 4D 7F,g minor,0.0234375
9B 3A 7F,g minor,0.00651041666667
97 4F 7F,g minor
87 4F 7F,g minor,0.225260416667
95 4D 7F,g minor,0.00520833333333
85 4D 7F,g minor,0.225260416667
8B 3A 7F,g minor
97 37 7F,g minor,0.00520833333333
94 4C 7F,g minor
84 4C 7F,g minor,0.225260416667
92 4A 7F,g minor,0.00651041666667
87 37 7F,g minor,0.200520833333
82 4A 7F,g minor,0.0247395833333
9A 39 7F,g minor,0.00520833333333
91 49 7F,g minor
8A 39 7F,g minor,0.109375
97 37 7F,g minor,0.00651041666667
87 37 7F,g minor,0.109375
81 49 7F,g minor
9A 39 7F,g minor,0.0078125
9B 52 7F,g minor
8B 52 7F,g minor,0.225260416667
8A 39 7F,g minor
9A 2D 7F,g minor,0.00520833333333
9A 51 7F,g minor
8A 51 7F,g minor,0.225260416667
97 4F 7F,g minor,0.00520833333333
8A 2D 7F,g minor,0.201822916667
87 4F 7F,g minor,0.0234375
92 26 7F,g minor,0.00651041666667
95 4D 7F,g minor
85 4D 7F,g minor,0.109375
94 4C 7F,g minor,0.00651041666667
84 4C 7F,g minor,0.109375
82 26 7F,g minor
9A 2D 7F,g minor,0.00520833333333
95 4D 7F,g minor
8A 2D 7F,g minor,0.225260416667
9C 2F 7F,g minor,0.00651041666667
8C 2F 7F,g minor,0.225260416667
91 31 7F,g minor,0.00520833333333
81 31 7F,g minor,0.225260416667
92 32 7F,g minor,0.00520833333333
85 4D 7F,g minor,0.125
82 32 7F,g minor,0.100260416667
94 34 7F,g minor,0.0078125
97 4F 7F,g minor
87 4F 7F,g minor,0.225260416667
84 34 7F,g minor
95 35 7F,g minor,0.00520833333333
9A 51 7F,g minor
8A 51 7F,g minor,0.225260416667
85 35 7F,g minor
92 32 7F,g minor,0.00651041666667
9B 52 7F,g minor
8B 52 7F,g minor,0.225260416667
82 32 7F,g minor
94 34 7F,g minor,0.00520833333333
91 49 7F,g minor
81 49 7F,g minor,0.225260416667
84 34 7F,g minor
92 32 7F,g minor,0.00651041666667
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
82 32 7F,g minor
91 31 7F,g minor,0.00520833333333
94 4C 7F,g minor
84 4C 7F,g minor,0.225260416667
81 31 7F,g minor
9C 2F 7F,g minor,0.00520833333333
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
8C 2F 7F,g minor
9A 2D 7F,g minor,0.00651041666667
91 49 7F,g minor
8A 2D 7F,g minor,0.225260416667
97 37 7F,g minor,0.00651041666667
81 49 7F,g minor,0.15234375
87 37 7F,g minor,0.0729166666667
95 35 7F,g minor,0.00651041666667
90 48 7F,g minor
85 35 7F,g minor,0.225260416667
94 34 7F,g minor,0.00520833333333
80 48 7F,g minor,0.153645833333
84 34 7F,g minor,0.0716145833333
92 32 7F,g minor,0.00520833333333
9C 47 7F,g minor
8C 47 7F,g minor,0.225260416667
82 32 7F,g minor
90 30 7F,g minor,0.00651041666667
90 48 7F,g minor
80 48 7F,g minor,0.225260416667
80 30 7F,g minor
9C 2F 7F,g minor,0.00520833333333
92 4A 7F,g minor
82 4A 7F,g minor,0.225260416667
8C 2F 7F,g minor
9A 2D 7F,g minor,0.00651041666667
90 48 7F,g minor
80 48 7F,g minor,0.225260416667
8A 2D 7F,g minor
97 2B 7F,g minor,0.00520833333333
9C 47 7F,g minor
87 2B 7F,g minor,0.225260416667
95 35 7F,g minor,0.00651041666667
8C 47 7F,g minor,0.15234375
85 35 7F,g minor,0.0729166666667
94 34 7F,g minor,0.00651041666667
